"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","405","GetAccount 404","api","Tue Oct 28 02:59:06 YEKT 2025","passed","Tue Oct 28 02:59:06 YEKT 2025","","","",""
"","15503","Отправка с невалидныи e-mail","ui","Tue Oct 28 02:59:03 YEKT 2025","failed","Tue Oct 28 02:59:19 YEKT 2025","","","",""
"","8297","UI-проверка и проверка контента","ui","Tue Oct 28 02:59:03 YEKT 2025","passed","Tue Oct 28 02:59:11 YEKT 2025","ioka.kz/ru — герой (UI & контент)","","",""
"","26334","Отправка с валидными данными","ui","Tue Oct 28 02:59:03 YEKT 2025","failed","Tue Oct 28 02:59:29 YEKT 2025","","","",""
"","434","CreateOrder: 400 validation error for amount<100 + <=500ms","api","Tue Oct 28 02:59:06 YEKT 2025","passed","Tue Oct 28 02:59:07 YEKT 2025","Ioka API - Orders & Payments","","",""
"","11796","Отправка пустой формы: показываются все обязательные поля","ui","Tue Oct 28 02:59:53 YEKT 2025","failed","Tue Oct 28 03:00:04 YEKT 2025","","","",""
"","431","CreateOrder: 201 + JSON schema + <=500ms","api","Tue Oct 28 02:59:06 YEKT 2025","passed","Tue Oct 28 02:59:06 YEKT 2025","Ioka API - Orders & Payments","","",""
"","2000","GetAccount 401 без ключа","api","Tue Oct 28 02:59:03 YEKT 2025","passed","Tue Oct 28 02:59:05 YEKT 2025","","","",""
"","1975","GetAccount 200","api","Tue Oct 28 02:59:03 YEKT 2025","passed","Tue Oct 28 02:59:05 YEKT 2025","","","",""
"","446","Get payment by id: invalid id -> 400 + <=500ms","api","Tue Oct 28 02:59:07 YEKT 2025","passed","Tue Oct 28 02:59:07 YEKT 2025","Ioka API - Orders & Payments","","",""
"","482","CreateOrder: 401 when API-KEY is missing + <=500ms","api","Tue Oct 28 02:59:07 YEKT 2025","passed","Tue Oct 28 02:59:07 YEKT 2025","Ioka API - Orders & Payments","","",""
